component,subsystem,level,power_W_low,power_W_median,power_W_high,active_fraction,utilization,evidence_tier,source_note
Onboard Computing Unit,Computing,L3,50.0,120.0,200.0,1.0,L3=0.5,vendor_conference,"Tesla Hot Chips 31 (2019): FSD computer sub-100 W system, sub-40 W per SoC. NVIDIA DRIVE AGX Orin: Jetson/DRIVE Orin SoC 15-60 W, 254 INT8 TOPS. NVIDIA DRIVE Thor (announced 2022): ~1000 INT8 TOPS / ~2000 FP4 TFLOPS, configurable platform power. Per-level value is the deployed-platform power (SoC + carrier + networking + redundancy), not a single chip. Utilization: fraction of active driving time the stack runs at the listed power (higher at higher autonomy levels)."
Onboard Computing Unit,Computing,L4,100.0,220.0,350.0,1.0,L4=0.72,vendor_conference,"Tesla Hot Chips 31 (2019): FSD computer sub-100 W system, sub-40 W per SoC. NVIDIA DRIVE AGX Orin: Jetson/DRIVE Orin SoC 15-60 W, 254 INT8 TOPS. NVIDIA DRIVE Thor (announced 2022): ~1000 INT8 TOPS / ~2000 FP4 TFLOPS, configurable platform power. Per-level value is the deployed-platform power (SoC + carrier + networking + redundancy), not a single chip. Utilization: fraction of active driving time the stack runs at the listed power (higher at higher autonomy levels)."
Onboard Computing Unit,Computing,L5,250.0,400.0,650.0,1.0,L5=0.85,vendor_conference,"Tesla Hot Chips 31 (2019): FSD computer sub-100 W system, sub-40 W per SoC. NVIDIA DRIVE AGX Orin: Jetson/DRIVE Orin SoC 15-60 W, 254 INT8 TOPS. NVIDIA DRIVE Thor (announced 2022): ~1000 INT8 TOPS / ~2000 FP4 TFLOPS, configurable platform power. Per-level value is the deployed-platform power (SoC + carrier + networking + redundancy), not a single chip. Utilization: fraction of active driving time the stack runs at the listed power (higher at higher autonomy levels)."
Edge Computing Unit,Computing,all,50.0,120.0,250.0,1.0,Basic=0.3;Semi=0.55;Highly=0.75,vendor_estimate,NVIDIA Jetson AGX Orin module datasheet (15-60 W configurable). Deployed roadside edge controller in a traffic cabinet: module + carrier board + Ethernet/PoE + storage ~50-250 W. Utilization rises with intersection automation level.
HP Computing Unit,Computing,all,250.0,450.0,800.0,1.0,Basic=0.0;Semi=0.0;Highly=0.75,vendor_estimate,High-performance roadside compute for highly-automated intersections (NVIDIA DRIVE Thor-class accelerator or a compact 2-4 GPU edge server): ~250-800 W. Only deployed in the highly-automated STI tier (Extended Data Table 4: 0/0/2 units).
Onboard Camera,Sensing,all,1.5,2.5,4.0,1.0,L3=1.0;L4=1.0;L5=1.0,vendor_estimate,Automotive HDR camera module = imager + ISP + GMSL2/FPD-Link serializer (+ heater). Sony IMX490 / onsemi AR0820-class imager ~1-1.5 W; full module typically ~1.5-4 W. Verify against module-level datasheets before publication.
Onboard LiDAR S,Sensing,all,8.0,14.0,20.0,1.0,L3=1.0;L4=1.0;L5=1.0,vendor_datasheet,"Solid-state / short-range automotive LiDAR (Hesai FT120, RoboSense E1, Innoviz One): published power ~8-20 W."
Onboard LiDAR L,Sensing,all,13.0,22.0,32.0,1.0,L3=1.0;L4=1.0;L5=1.0,vendor_datasheet,"Long-range mechanical / hybrid automotive LiDAR (Hesai AT128 / Pandar128, Velodyne VLS-128, Luminar Iris, Ouster OS2): ~13-32 W. Absent below L4 (Extended Data Table 3)."
Onboard Radar,Sensing,all,3.0,6.0,12.0,1.0,L3=1.0;L4=1.0;L5=1.0,vendor_estimate,77 GHz automotive radar: Continental ARS540 4D imaging radar ~10-12 W; Bosch 5th-generation front/corner radar ~3-7 W. Range ~3-12 W; verify against datasheets before publication.
Sonar,Sensing,all,0.5,1.0,2.0,0.25,L3=1.0;L4=1.0;L5=1.0,vendor_estimate,Automotive ultrasonic park-assist transducer + driver IC: ~0.5-2 W. Energised only at low speed; modelled with active_fraction = 0.25.
Inductive Loop Detector,Sensing,all,3.0,6.0,12.0,1.0,Basic=1.0;Semi=1.0;Highly=1.0,blueprint,NEMA TS-2 loop-detector amplifier card in a USDOT traffic-signal cabinet: ~3-12 W per channel/card. (FHWA Traffic Detector Handbook.)
Static Camera,Sensing,all,4.0,8.0,15.0,1.0,Basic=1.0;Semi=1.0;Highly=1.0,vendor_estimate,"Fixed IP traffic camera (Axis P-series, Bosch DINION): ~5-12 W typical; up to ~15 W with built-in heater/blower. Verify before publication."
Static HP LiDAR,Sensing,all,25.0,40.0,60.0,1.0,Basic=1.0;Semi=1.0;Highly=1.0,vendor_datasheet,"Roadside 360deg / high-resolution LiDAR (Hesai PandarQT/AT family, RoboSense M-series, Ouster OS-series): ~25-60 W."
Static HP Radar,Sensing,all,10.0,18.0,28.0,1.0,Basic=1.0;Semi=1.0;Highly=1.0,vendor_estimate,"Roadside imaging / traffic radar (Smartmicro UMRR family, Continental ARS548RDI): ~10-28 W. Verify before publication."
Cellular Comm. Unit,Communication,all,2.0,4.0,8.0,0.5,L3=0.6;L4=0.8;L5=0.9,vendor_datasheet,"Automotive 5G / C-V2X module (Quectel AG550Q / RG500Q-class): peak transmit ~5-8 W, mode-averaged (sleep/idle/rx/tx occupancy) ~2-4 W. active_fraction encodes the idle/rx-dominant mode mix; utilization scales message volume with autonomy level."
DSRC,Communication,all,3.0,5.0,10.0,0.5,L3=0.5;L4=0.7;L5=0.8,vendor_datasheet,DSRC / C-V2X on-board unit (Cohda MK5 / MK6-class OBU): ~3-10 W operational. active_fraction encodes broadcast/listen duty mix.
