metric_family,tier,tier_label,source_file,computed_by,units,confidence_level,limitations
ATS Total Energy,1,direct_simulation,results_notebook/california__policy-baseline__quantiles.csv,footprint_model.py — sum of ECAV + ICECAV + STI energy each year,kWh / year,medium-high,"Utility phase only. Excludes manufacturing, logistics, and end-of-life. Hardware efficiency projections are scenario assumptions."
ECAV Energy,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — ECAV fleet × per-vehicle energy rate,kWh / year,medium,Per-vehicle energy rates from published AV hardware benchmarks (2019–2023); real deployment may differ.
ICECAV Energy,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — ECAV energy × 1.6 ICE power factor,kWh / year,medium-low,The 1.6× ICE power factor is a model assumption; no empirical fleet measurement available.
STI Energy,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — STI unit count × per-unit energy rate,kWh / year,medium,STI deployment growth rates are scenario parameters; per-unit energy rates from limited published data.
ECAV Sensing Energy,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — ECAV fleet × sensing rate per autonomy level,kWh / year,medium,Sensing rates vary by L3/L4/L5 classification; real vehicles may span multiple levels simultaneously.
ECAV Computing Energy,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — ECAV fleet × computing rate per autonomy level,kWh / year,medium,Computing is dominant subsystem; rates from NVIDIA DRIVE / Mobileye benchmarks.
ECAV Communication Energy,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — ECAV fleet × communication rate per autonomy level,kWh / year,medium-high,Communication rates well-characterised (V2X standards); lowest uncertainty subsystem.
STI Sensing Energy,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — STI units × sensing rate by deployment tier,kWh / year,medium,Three deployment tiers (Basic/Semi/Highly); real deployments may not map cleanly.
STI Computing Energy,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — STI units × computing rate by deployment tier,kWh / year,medium,Computing dominates STI energy; highly dependent on deployed inference hardware.
STI Communication Energy,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — STI units × communication rate by deployment tier,kWh / year,medium-high,Communication rates well-characterised for infrastructure standards.
ATS Emissions,1,direct_simulation,results_notebook/*__quantiles.csv,"footprint_model.py — electricity × (clean_fraction × e_clean + fossil_fraction × e_fossil) + gasoline × e_gasoline",kg CO2 / year,medium-high,"Does not include upstream supply-chain emissions (Scope 3). Grid emission factors are L1 uncertain."
ECAV Emissions,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — ECAV electricity × grid emission factors,kg CO2 / year,medium,Driven entirely by grid decarbonization scenario assumption.
ICECAV Emissions,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — ICECAV electricity × grid factors + gasoline × e_gasoline,kg CO2 / year,medium,"Gasoline emission factor assumed constant at 1.65 kg CO2/kWh equivalent. 12-year retirement cycle."
STI Emissions,1,direct_simulation,results_notebook/*__quantiles.csv,footprint_model.py — STI electricity × grid emission factors,kg CO2 / year,medium,Contingent on STI deployment rate scenario assumption.
Fleet Counts,2,derived_formula,results_notebook/*__quantiles.csv,footprint_model.py — cumulative adoption model applied to initial fleet data,count,low-medium,Growth rates are scenario parameters. Initial fleet from DMV/census data (2024).
Emissions Intensity,2,derived_formula,results_notebook/*__quantiles.csv,Dashboard computation: ATS Emissions ÷ Total CAV,kg CO2 / CAV / year,medium,"STI emissions included in numerator. Early-year instability from near-zero CAV denominator."
Peak Emissions,2,derived_formula,results/california__policy-baseline__model-fixed_table_metrics.csv,argmax over annual ATS Emissions time series,kg CO2 (year dimensionless),medium,Depends on scenario growth rates; meaningful only within scenario assumptions.
Turning Year,2,derived_formula,results/california__policy-baseline__model-fixed_table_metrics.csv,First year after peak where emissions have declined to 50% of peak value,year,low-medium,Highly sensitive to EV adoption and grid decarbonization rates. Can shift 5–15 years with small parameter changes.
Cumulative Emissions,2,derived_formula,results_notebook/*__quantiles.csv,Numerical integration (trapezoidal sum) of annual ATS Emissions,kg CO2 (total over 2024–2092),medium,Uncertainty accumulates over time; p95/p05 spread widens for cumulative totals.
EV Fraction,3,scenario_assumption,"configs/california.json, configs/ohio.json, configs/us_average.json",footprint_model.py — logistic growth from initial EV share,fraction (0–1),low,"EV adoption rate is a core scenario parameter. Baseline uses ~7% annual growth. No market equilibrium modeled."
Clean Energy Fraction,3,scenario_assumption,"configs/california.json, configs/ohio.json, configs/us_average.json",footprint_model.py — linear growth from initial f_clean,fraction (0–1),low,Grid decarbonization rate is a scenario parameter. California initial f_clean = 0.63. Not a forecast.
Manufacturing Phase,4,conceptual_only,,NOT IMPLEMENTED,kg CO2,none,"No lifecycle inventory data. Would need per-model bill-of-materials and manufacturing energy intensity. Not in v2 scope."
Logistics Phase,4,conceptual_only,,NOT IMPLEMENTED,kg CO2,none,Would require supplier-level Scope 3 data. Not in v2 scope.
End of Life Phase,4,conceptual_only,,NOT IMPLEMENTED,kg CO2,none,Would require recycling/disposal intensity data. Not in v2 scope.
