factor_id,parameter_name,layer,physical_meaning,distribution,current_parameterization_CA_OH_US,default_decision,rationale,output_affected,effect_on_median,effect_on_width,effect_on_turning_year,effect_on_interp_boundary,effect_on_long_horizon,duplicates
F01,initial_data.f_clean,L1,2024 low-carbon-electricity share of the regional grid,beta(mean; kappa),"CA mean=0.656 kappa=80; OH mean=0.247 kappa=80; US mean=0.4515 kappa=60","fixed_by_default","Evidence-anchored at EIA state-by-state reporting. Spread is dominated by a constant level offset that is swamped after ~2035 by trajectory uncertainty. Dropping variance here simplifies the reader's interpretation without hiding real risk.",Emissions; EV-grid blending,medium (<=5% of p50),low (<~8% of p50 by 2030),negligible,negligible,negligible,no
F02,initial_data.ev_share,L1,2024 BEV share of light-duty fleet,beta(mean; kappa),"CA mean=0.041 kappa=120; OH mean=0.00668 kappa=120; US mean=0.0335 kappa=100","fixed_by_default","Regionally well-measured. Fleet stock evolves so quickly under ev_growth that a 2024 Beta-perturbation is absorbed within 3-5 years.",ECAV count; EV grid blending,low (<=3% of p50),low (<~5% by 2030),negligible,negligible,negligible,"partially redundant with growth_rates.ev"
F03,emission_factors.e_clean,L1,CO2 intensity of low-carbon electricity,triangular,"(0.01; 0.03; 0.08) kg/kWh all regions","adjustable_default_width_only","Literature disagreement between operational-only and life-cycle-inclusive. High tail 0.08 reflects LCA-grade envelope; operational-only view sits at <=0.05. Keep adjustable so the reader can see both readings.",Emissions,medium,medium (band shift tracks f_clean),negligible,low,low,no
F04,emission_factors.e_fossil,L1,CO2 intensity of fossil electricity,triangular,"(0.35; 0.50; 0.65) kg/kWh","adjustable_default_width_only","Well-bounded physical range (natural-gas-combined-cycle to coal). Low and high ends correspond to named generation technologies.",Emissions,medium,medium,low,low,low,no
F05,emission_factors.e_gasoline,L1,CO2-equivalent intensity for ICECAV electronic-load fuel,triangular,"(1.45; 1.65; 1.85) kg/kWh","adjustable_default_width_only","Tight physical bound around EPA gasoline CO2-per-litre. Minor sensitivity to well-to-wheel vs tank-to-wheel convention.",ICECAV emissions,low,low,negligible,low,low,no
F06,consumption_rates.ecav_scale_factors.L3,L2,multiplicative scale on L3 ECAV per-level row,lognormal,"sigma=0.15 (all regions; region-identical)","fixed_by_default","Dossier S2-01: this per-level axis and the per-subsystem axis compound multiplicatively on every ECAV cell. The per-subsystem axis already captures between-column variation; keeping both is a dual-axis duplication inflating sigma to ~sqrt(sigma_level^2+sigma_sub^2) per cell.",ECAV power,low,high (duplicates F09-F11),negligible,medium,high,"yes -- duplicates F09-F11"
F07,consumption_rates.ecav_scale_factors.L4,L2,multiplicative scale on L4 ECAV per-level row,lognormal,sigma=0.20,"fixed_by_default","Same dual-axis duplication as F06.",ECAV power,low,high,negligible,medium,high,"yes -- duplicates F09-F11"
F08,consumption_rates.ecav_scale_factors.L5,L2,multiplicative scale on L5 ECAV per-level row,lognormal,sigma=0.25,"fixed_by_default","Same dual-axis duplication as F06.",ECAV power,low,high,negligible,medium,high,"yes -- duplicates F09-F11"
F09,consumption_rates.ecav_scale_factors.sensing,L2,multiplicative scale on ECAV sensing column,lognormal,sigma=0.30,"adjustable_default","Largest ECAV sensing spread (camera/LiDAR/radar mix). Evidence-based but wide.",ECAV power,low,medium,negligible,low,low,no
F10,consumption_rates.ecav_scale_factors.computing,L2,multiplicative scale on ECAV computing column,lognormal,sigma=0.20,"adjustable_default","Reflects GPU/ASIC efficiency variation across vendors; modest.",ECAV power,low,low,negligible,low,low,no
F11,consumption_rates.ecav_scale_factors.communication,L2,multiplicative scale on ECAV communication column,lognormal,sigma=0.35,"adjustable_default","Largest single lognormal sigma: 5G vehicle-comm power draws span wide in the measurement literature.",ECAV power,low,medium,negligible,low,low,no
F12,consumption_rates.sti_scale_factors.Basic,L2,multiplicative scale on Basic STI row,lognormal,sigma=0.20,"fixed_by_default","Dossier S2-02: same dual-axis compounding on STI.",STI power,low,high (duplicates F15-F17),negligible,medium,high,"yes -- duplicates F15-F17"
F13,consumption_rates.sti_scale_factors.Semi,L2,multiplicative scale on Semi STI row,lognormal,sigma=0.25,"fixed_by_default","Dual-axis duplication.",STI power,low,high,negligible,medium,high,"yes -- duplicates F15-F17"
