param_id,config_path,layer,physical_meaning,current_distribution,current_parameterization_CA_OH,can_be_fixed,must_remain_uncertain,too_weak_to_expose,lmh_meaningful,allowed_levels,affects,duplicates_effect_with,default_level,paper_safe_level,rationale
F01,initial_data.f_clean,L1,2024 low-carbon electricity share of regional grid,beta(mean; kappa),CA mean=0.656 kappa=80; OH mean=0.247 kappa=80,yes,no,no,partial,"fixed; low",width;early_horizon,"F26 (partial)","fixed","low","Evidence-based (EIA). Medium is uninformative inflation; HIGH rejected. Fixed default removes constant offset absorbed by F26."
F02,initial_data.ev_share,L1,2024 BEV share,beta(mean; kappa),CA mean=0.041 kappa=120; OH mean=0.00668 kappa=120,yes,no,no,partial,"fixed; low",level;early_horizon,"F25 (partial)","fixed","low","Same reasoning as F01."
F03,emission_factors.e_clean,L1,CO2 intensity of low-carbon electricity,triangular,(0.01; 0.03; 0.08),yes,yes,no,partial,"fixed; low; medium",width,none,"low","medium","Operational vs life-cycle methodological choice. HIGH rejected (no evidence beyond LCA)."
F04,emission_factors.e_fossil,L1,CO2 intensity of fossil generation,triangular,(0.35; 0.50; 0.65),yes,yes,no,partial,"fixed; low; medium",width,none,"low","medium","NGCC-to-coal technology range. HIGH rejected."
F05,emission_factors.e_gasoline,L1,CO2 for gasoline combustion,triangular,(1.45; 1.65; 1.85),yes,yes,no,no,"fixed; low",width,none,"low","low","Tight EPA range. MEDIUM inflation was not evidence-supported. HIGH rejected."
F06,consumption_rates.ecav_scale_factors.L3,L2,ECAV L3 per-level multiplicative factor,lognormal,sigma=0.15,yes,no,yes,no,"fixed",width,"F09/F10/F11 (dual-axis duplicate; S2-01)","fixed","fixed","S2-01 dual-axis duplication; any non-fixed value double-counts the per-subsystem variance. FIXED ONLY is the final classification."
F07,consumption_rates.ecav_scale_factors.L4,L2,ECAV L4 per-level multiplicative factor,lognormal,sigma=0.20,yes,no,yes,no,"fixed",width,"F09/F10/F11","fixed","fixed","S2-01."
F08,consumption_rates.ecav_scale_factors.L5,L2,ECAV L5 per-level multiplicative factor,lognormal,sigma=0.25,yes,no,yes,no,"fixed",width,"F09/F10/F11","fixed","fixed","S2-01."
F09,consumption_rates.ecav_scale_factors.sensing,L2,ECAV sensing column multiplicative factor,lognormal,sigma=0.30,yes,yes,no,partial,"fixed; low; medium",width,none,"low","medium","Single retained axis after S2-01 fix; camera/LiDAR/radar measurement spread. HIGH rejected."
F10,consumption_rates.ecav_scale_factors.computing,L2,ECAV computing column factor,lognormal,sigma=0.20,yes,yes,no,partial,"fixed; low; medium",width,none,"low","medium","Retained axis. HIGH rejected."
F11,consumption_rates.ecav_scale_factors.communication,L2,ECAV communication column factor,lognormal,sigma=0.35,yes,yes,no,partial,"fixed; low; medium",width,none,"low","medium","Retained axis. HIGH rejected."
F12,consumption_rates.sti_scale_factors.Basic,L2,STI Basic per-level factor,lognormal,sigma=0.20,yes,no,yes,no,"fixed",width,"F15/F16/F17 (S2-02)","fixed","fixed","S2-02 duplicate; FIXED ONLY."
F13,consumption_rates.sti_scale_factors.Semi,L2,STI Semi per-level factor,lognormal,sigma=0.25,yes,no,yes,no,"fixed",width,"F15/F16/F17","fixed","fixed","S2-02."
F14,consumption_rates.sti_scale_factors.Highly,L2,STI Highly per-level factor,lognormal,sigma=0.30,yes,no,yes,no,"fixed",width,"F15/F16/F17","fixed","fixed","S2-02."
F15,consumption_rates.sti_scale_factors.sensing,L2,STI sensing column factor,lognormal,sigma=0.35,yes,yes,no,partial,"fixed; low; medium",width,none,"low","medium","Retained axis. HIGH rejected."
F16,consumption_rates.sti_scale_factors.computing,L2,STI computing column factor,lognormal,sigma=0.25,yes,yes,no,partial,"fixed; low; medium",width,none,"low","medium","Retained axis. HIGH rejected."
F17,consumption_rates.sti_scale_factors.communication,L2,STI communication column factor,lognormal,sigma=0.35,yes,yes,no,partial,"fixed; low; medium",width,none,"low","medium","Retained axis. HIGH rejected."
F18,consumption_rates.cav_levels,L2,Dirichlet over L3/L4/L5 CAV mix,dirichlet,"alpha=[5.0, 3.33, 1.67]",yes,yes,no,partial,"fixed; low; medium",width,none,"low","medium","Level mix scenario knob. HIGH rejected (alpha below MEDIUM produces near-uniform draws)."
F19,consumption_rates.sti_levels,L2,Dirichlet over Basic/Semi/Highly STI mix,dirichlet,"alpha=[5.0, 3.33, 1.67]",yes,yes,no,partial,"fixed; low; medium",width,none,"low","medium","Same as F18."
F20,consumption_rates.icecav_power_factor,L2,ICE overhead multiplier,triangular,(1.3; 1.6; 2.0),yes,yes,no,no,"fixed; low",level,none,"low","low","Narrow physical range. MEDIUM was overstated; HIGH rejected."
F21,consumption_rates.cohort_decay_factor,L2,Pre-2024 cohort age weight,triangular,(0.5; 0.7; 0.9),yes,no,yes,no,"fixed",early_horizon_only,none,"fixed","fixed","Decays out by 2036; classified HIDDEN / FIXED ONLY."
F22,growth_rates.retire_year,L2,Integer vehicle service life,triangular(int),(8; 12; 18),yes,yes,no,partial,"fixed; low; medium",turning_year,none,"low","medium","Evidence-anchored; HIGH rejected (MEDIUM spans 8-20-year service-life literature)."
F23,growth_rates.cav,L3,2075 CAV target fraction,triangular,CA (0.25;0.45;0.70); OH (0.10;0.30;0.55),yes,yes,no,yes,"fixed; low; medium; high",long_horizon;width,none,"low","medium","Primary L3 scenario driver. HIGH explicitly exploratory."
F24,growth_rates.sti,L3,2075 STI target coverage,triangular,CA (0.25;0.50;0.75); OH (0.10;0.30;0.55),yes,yes,no,yes,"fixed; low; medium; high",long_horizon;width,none,"low","medium","Same as F23 on STI side. HIGH exploratory."
F25,growth_rates.ev,L3,Annual BEV-share growth exponent,truncated_normal,CA (0.07; 0.015); OH (0.055; 0.020),yes,yes,no,yes,"fixed; low; medium; high",long_horizon;width;interp_boundary,"F02 (partial)","low","medium","Primary long-horizon band driver. HIGH exploratory."
F26,growth_rates.clean_energy,L3,Annual low-carbon-electricity growth exponent,truncated_normal,CA (0.05; 0.012); OH (0.035; 0.015),yes,yes,no,yes,"fixed; low; medium; high",long_horizon;width;interp_boundary,"F01 (partial)","low","medium","Primary interpretation-boundary driver. HIGH exploratory."
F27,growth_rates.efficiency_doubling,L3,Hardware efficiency doubling time (years),triangular,(1.5; 2.8; 5.0),yes,yes,no,yes,"fixed; low; medium; high",long_horizon;width;turning_year,none,"low","medium","Top turning-year driver. HIGH exploratory."
F28,growth_rates.total_car_increase,L3,Annual fleet-stock growth,truncated_normal,CA (0.002; 0.001); OH (0.001; 0.0005),yes,yes,no,no,"fixed; low",level,none,"low","low","Demographically bounded. MEDIUM inflation unsupported; HIGH rejected."
F29_missing_abs_power_cells,consumption_rates.ecav_power.* / sti_power.*,L2,18 absolute per-level-per-subsystem power cells with NO direct distribution,none,deterministic,no,no,yes,no,"hidden_internal_only",width,"all L2 scale factors","hidden_internal_only","hidden_internal_only","Underconstrained (S2-05). Cannot be sampled without a joint prior; disclosed but never user-tunable."
SHK01,scenarios/shocks/grid_stall.json,SHOCK,Grid decarbonisation stall,scenario,moderate,no,no,no,no,"structural_shock_only",long_horizon,none,"structural_shock_only","structural_shock_only","Never in ordinary MC."
SHK02,scenarios/shocks/ev_slowdown.json,SHOCK,BEV adoption slowdown,scenario,moderate,no,no,no,no,"structural_shock_only",long_horizon,none,"structural_shock_only","structural_shock_only","Never in ordinary MC."
SHK03,scenarios/shocks/hardware_supply_shock.json,SHOCK,CAV hardware supply disruption,scenario,moderate,no,no,no,no,"structural_shock_only",long_horizon,none,"structural_shock_only","structural_shock_only","Never in ordinary MC."
SHK04,scenarios/shocks/policy_freeze.json,SHOCK,Policy regression,scenario,moderate,no,no,no,no,"structural_shock_only",long_horizon,none,"structural_shock_only","structural_shock_only","Never in ordinary MC."
