metric,provenance_class,source_file,unit,temporal_type,formula,notes
ATS Total Power (kWh),direct_simulation,footprint_model.py,kWh/yr,annual,sum(e+i+s power components),Column name says Power but is annual energy demand
ECAV Power (kWh),direct_simulation,footprint_model.py,kWh/yr,annual,e_sensing + e_computing + e_communication,Electric CAV annual energy
ICECAV Power (kWh),direct_simulation,footprint_model.py,kWh/yr,annual,i_sensing + i_computing + i_communication,ICE CAV annual energy
STI Power (kWh),direct_simulation,footprint_model.py,kWh/yr,annual,s_sensing + s_computing + s_communication,Smart infrastructure annual energy
ATS Emissions (kg CO2),direct_simulation,footprint_model.py,kg CO2/yr,annual,e_em + i_em + s_em,Total utility-phase emissions
ECAV Emissions (kg CO2),direct_simulation,footprint_model.py,kg CO2/yr,annual,e_power * grid_ef,Electric CAV emissions via grid mix
ICECAV Emissions (kg CO2),direct_simulation,footprint_model.py,kg CO2/yr,annual,i_power * e_gasoline,ICE CAV emissions via fuel factor
STI Emissions (kg CO2),direct_simulation,footprint_model.py,kg CO2/yr,annual,s_power * grid_ef,STI emissions via grid mix
Total Vehicles,direct_simulation,footprint_model.py,count,annual,fleet dynamics,Modeled light-duty vehicle stock
Total CAV,direct_simulation,footprint_model.py,count,annual,cumulative new CAVs minus retired,Autonomous vehicle count
Total STI,direct_simulation,footprint_model.py,count,annual,STI adoption curve,Smart intersection count
Total EV,direct_simulation,footprint_model.py,count,annual,cumulative EVs minus retired,Battery electric vehicle count
EV Fraction,direct_simulation,footprint_model.py,fraction,annual,total_ev / total_cars,BEV share of modeled stock
Clean Energy Fraction,direct_simulation,footprint_model.py,fraction,annual,f_clean * (1+growth)^t capped at 1,Low-carbon electricity share
Cumulative emissions,derived,v4 dashboard,kg CO2,cumulative,cumsum(ATS_Emissions),Running sum from 2024
Cumulative energy,derived,v4 dashboard,kWh,cumulative,cumsum(ATS_Total_Power),Running sum from 2024
Peak year,derived,v4 dashboard,year,scalar,argmax(ATS_Emissions),Scenario-conditioned
Turning year,derived,v4 dashboard,year,scalar,first post-peak year where em <= 0.5 * peak,Scenario-conditioned
Interpretation boundary,derived,v4 dashboard,year,scalar,first year where (p95-p05)/p50 >= 1.5,Threshold-based
Uncertainty bands (p05-p95),derived,footprint_model.py MC,same as metric,annual,np.quantile over 200 MC runs,Baseline only
Production phase energy,conceptual,not implemented,—,—,—,Framework scope only
Logistics phase energy,conceptual,not implemented,—,—,—,Framework scope only
End-of-life phase energy,conceptual,not implemented,—,—,—,Framework scope only
