page_name,field_name,current_value,semantic_definition_in_code,current_source,correct_source,source_type,match_status,action_needed,notes
Home,California / modeled initial vehicle stock,37428700,initial_data.total_cars; modeled initial fleet stock,configs/*.json via load_runtime_config() -> default_summary_frame(),https://afdc.energy.gov/vehicle-registration,config anchored to external source,corrected,keep,Baseline vehicle stock and BEV count are cross-checked to DOE AFDC 2024 light-duty registrations. The initial low-carbon electricity share is a modeled non-fossil baseline cross-checked to 2024 EIA California electricity data.
Home,California / initial BEV share,0.040982,initial_data.total_ev / initial_data.total_cars; BEV-only share in current code,configs/*.json via default_summary_frame(),https://afdc.energy.gov/vehicle-registration,config anchored to external source,corrected,keep,Relabeled explicitly as BEV share of modeled light-duty stock.
Home,California / initial low-carbon electricity share,0.656,initial_data.f_clean; starting non-fossil share in the e_clean/e_fossil blend,configs/*.json via default_summary_frame(),AFDC 2024 BEV + total light-duty registrations: https://afdc.energy.gov/vehicle-registration; modeled low-carbon share derived from 2024 EIA California electricity sources: https://www.eia.gov/states/CA/analysis and https://www.eia.gov/electricity/state/California/,config anchored to external source,corrected,keep,Relabeled from ambiguous clean fraction wording.
Scenario Explorer,California / CAV control,0.45,growth_rates.cav; target autonomous-vehicle fleet fraction reached by 2075 in _update_quantities(),configs/*.json via CONTROL_SPECS,Current TransportModel implementation,scenario assumption,relabeled,keep,No longer presented as a literal annual growth rate.
Scenario Explorer,California / STI control,0.5,growth_rates.sti; target STI coverage fraction reached by 2075 in _update_quantities(),configs/*.json via CONTROL_SPECS,Current TransportModel implementation,scenario assumption,relabeled,keep,No longer presented as a literal annual growth rate.
Scenario Explorer,California / aligned baseline uncertainty overlay,zero-width,results/*_quantiles.csv p05-p50-p95 shown only for exact baseline defaults,results/california__policy-baseline__model-fixed_table_quantiles.csv,Aligned results only; legacy notebook excluded from explorer overlays,aligned precomputed artifact,relabeled,keep with warning,The current aligned baseline file is traceable but degenerate: p05 == p50 == p95.
Utility Phase Analysis,California / subsystem breakdown labels,sensing / computing / communication,"Direct energy columns by subsystem family for ECAV, ICEAV, and STI",footprint_model.py columns surfaced by v3 utility page,Current deterministic TransportModel outputs,direct simulation output,corrected,keep,ICEAV labels are now exposed even though stored columns still use ICECAV.
State Results,California / region provenance note,Baseline vehicle stock and BEV count are cross-checked to DOE AFDC 2024 light-duty registrations. The initial low-carbon electricity share is a modeled non-fossil baseline cross-checked to 2024 EIA California electricity data.,Human-readable provenance note attached to region label,dashboard_core.REGION_NOTES,Same,provenance note,corrected,keep,Makes synthetic vs official baselines explicit.
Home,Ohio / modeled initial vehicle stock,10385000,initial_data.total_cars; modeled initial fleet stock,configs/*.json via load_runtime_config() -> default_summary_frame(),https://afdc.energy.gov/vehicle-registration,config anchored to external source,corrected,keep,Baseline vehicle stock and BEV count are cross-checked to DOE AFDC 2024 light-duty registrations. The initial low-carbon electricity share is a modeled non-fossil baseline cross-checked to 2024 EIA Ohio electricity data.
Home,Ohio / initial BEV share,0.006683,initial_data.total_ev / initial_data.total_cars; BEV-only share in current code,configs/*.json via default_summary_frame(),https://afdc.energy.gov/vehicle-registration,config anchored to external source,corrected,keep,Relabeled explicitly as BEV share of modeled light-duty stock.
