parameter_name,current_value,file_path,code_symbol_or_json_path,semantic_role,units,region_specific_or_global,used_in_live_simulation,used_in_dashboard_only,overridden_by_policy,appears_in_methods_or_results_text_if_detectable,candidate_uncertainty_class,notes_on_risk
# ===== HORIZON AND INTERPRETATION =====
default_simulation_years,68,footprint_model.py,main argparse --years default (L767),CLI default horizon,years,global,yes,no,no,yes (2024-2092 window),deterministic_control,"Code default differs from v3 KEY_YEAR_LIST narrative and paper narrative that ends at 2075/2100"
DEFAULT_HORIZON_years_v3,68,v3_streamlit_app/dashboard_core.py,DEFAULT_HORIZON_YEARS (L240),v3 dashboard default years,years,global,no,yes,no,yes,deterministic_control,Matches CLI
DEFAULT_HORIZON_years_v4,68,v4_streamlit_app/core.py,DEFAULT_HORIZON (L59),v4 dashboard default years,years,global,no,yes,no,yes,deterministic_control,"CLAUDE.md (now corrected) previously said v3=51; verify no stale doc still says 51"
BASE_YEAR,2024,v4_streamlit_app/core.py,BASE_YEAR (L58),Start calendar year,year,global,yes (footprint_model.py hard-codes 2024 at L574),no,no,yes,deterministic_control,"footprint_model.py uses literal 2024 at L574 and L656; not derived from BASE_YEAR constant"
target_reach_year_divisor_51,51,footprint_model.py,L468 L477 L633,Hard-coded divisor for CAV/STI target-reach time factor,years,global,yes,no,no,yes (2075 narrative),deterministic_control,"Magic number; if BASE_YEAR or horizon ever changes, silently wrong. Represents 2075 target only while BASE_YEAR=2024"
print_trigger_year_51,51,footprint_model.py,L633 (t == 51),Stdout logging trigger,n/a,global,no,no,no,no,deterministic_control,Logging only
INTERPRETATION_BOUNDARY_THRESHOLD_v3,1.5,v3_streamlit_app/dashboard_core.py,INTERPRETATION_BOUNDARY_THRESHOLD (L886),(p95-p05)/p50 cutover threshold,ratio,global,no,yes,no,yes (methods boundary),deterministic_control,Must match v4; currently does
INTERPRETATION_BOUNDARY_START_YEAR_v3,2026,v3_streamlit_app/dashboard_core.py,INTERPRETATION_BOUNDARY_START_YEAR (L887),v3 earliest year to test threshold,year,global,no,yes,no,yes,deterministic_control,"DIFFERS FROM v4 (2027). One-year inconsistency across versions"
INTERP_THRESHOLD_v4,1.5,v4_streamlit_app/core.py,INTERP_THRESHOLD (L63),v4 same-meaning threshold,ratio,global,no,yes,no,yes,deterministic_control,Matches v3
INTERP_START_YEAR_v4,2027,v4_streamlit_app/core.py,INTERP_START_YEAR (L64),v4 earliest year,year,global,no,yes,no,yes,deterministic_control,"DIFFERS FROM v3 (2026). Unify before any methodology doc"
turning_year_decline_ratio,0.5,footprint_model.py AND v3 dashboard_core.py AND v4 core.py,"L537/L546 v3; L402 v4",Turning year = first year <= 50% of peak,ratio,global,yes (footprint_model compute_scalar_metrics) + yes,no,no,yes,deterministic_control,"Threshold hard-coded in three places; if definition changes, must update all"
turning_year_consecutive_years,5,footprint_model.py,_compute_turning_point default (L669 L678),Legacy definition: N consecutive decline years,years,global,yes (compute_scalar_metrics only),no,no,unclear,deterministic_control,"Dashboards use the 0.5 peak-rule; compute_scalar_metrics uses a DIFFERENT 5-year consecutive rule; two definitions coexist"
KEY_YEAR_LIST_v3,"[2025, 2045, 2075]",v3_streamlit_app/dashboard_core.py,KEY_YEAR_LIST (L239),v3 key year palette,years,global,no,yes,no,yes,deterministic_control,Differs from v4 comp_years
comp_years_v4,"[2025, 2030, 2045, 2075, 2092]",v4_streamlit_app/pages/02_State_Results.py,L70,v4 state comparison years,years,global,no,yes,no,yes,deterministic_control,"Includes 2030 and 2092; diverges from v3"
cumulative_window_label,"2024-2092",v4_streamlit_app/pages/03_Turning_Points.py,L72 caption,Caption literal in docs table,years,global,no,yes,no,yes,deterministic_control,Caption literal; breaks if user slides horizon
# ===== INITIAL STATE: California =====
ca_total_cars,37428700,configs/california.json,initial_data.total_cars,Initial light-duty vehicle stock,count,region_specific,yes,no,no,yes,L1_data_source,"Cross-checked to DOE AFDC 2024 per REGION_NOTES"
ca_total_ev,1533900,configs/california.json,initial_data.total_ev,Initial BEV count (absolute),count,region_specific,yes,no,no,yes,L1_data_source,Implied ev_share 0.041
ca_total_cav,1603,configs/california.json,initial_data.total_cav,Initial CAV count,count,region_specific,yes,no,no,yes,L1_data_source,Lowly sourced; likely estimate
ca_total_intersections,380400,configs/california.json,initial_data.total_intersections,Convertible intersections,count,region_specific,yes,no,no,yes,L1_data_source,
ca_total_sti,0,configs/california.json,initial_data.total_sti,Initial STI count,count,region_specific,yes,no,no,yes,L1_data_source,Assumed 0
ca_f_clean,0.656,configs/california.json,initial_data.f_clean,Initial low-carbon grid share,fraction,region_specific,yes,no,no,yes,L1_data_source,"Beta distribution mean 0.656 kappa 80 in MC"
# ===== INITIAL STATE: Ohio =====
oh_total_cars,10385000,configs/ohio.json,initial_data.total_cars,Initial vehicle stock,count,region_specific,yes,no,no,yes,L1_data_source,
oh_total_ev,69400,configs/ohio.json,initial_data.total_ev,Initial BEV count,count,region_specific,yes,no,no,yes,L1_data_source,Implied ev_share 0.00668
oh_total_cav,400,configs/ohio.json,initial_data.total_cav,Initial CAV count,count,region_specific,yes,no,no,yes,L1_data_source,
oh_total_intersections,171000,configs/ohio.json,initial_data.total_intersections,Intersections,count,region_specific,yes,no,no,yes,L1_data_source,
oh_total_sti,0,configs/ohio.json,initial_data.total_sti,Initial STI count,count,region_specific,yes,no,no,yes,L1_data_source,
