param_id,config_path,layer,physical_meaning,current_distribution,current_parameterization_CA_OH,can_be_fixed,must_remain_uncertain,low_spec,medium_spec,high_spec,allow_high,duplicates_effect_with,affects,default_level,paper_safe_level,rationale_for_decision,decision_value
F01,initial_data.f_clean,L1,2024 low-carbon electricity share of regional grid,beta(mean; kappa),CA mean=0.656 kappa=80; OH mean=0.247 kappa=80,yes,no,"beta(mean, kappa x2)","beta(mean, kappa)",n/a,no,F26 (partial; growth absorbs offset),width;early_horizon,fixed,medium,"Well measured; absorbed by F26 within 3-5 years. Keeping this free only adds a constant offset that does not inform any 2030+ decision. FIXED default improves readability.",fixed_default
F02,initial_data.ev_share,L1,2024 BEV share,beta(mean; kappa),CA mean=0.041 kappa=120; OH mean=0.00668 kappa=120,yes,no,"beta(mean, kappa x2)","beta(mean, kappa)",n/a,no,F25 (partial; growth absorbs offset),level;early_horizon,fixed,medium,"Same reasoning as F01.",fixed_default
F03,emission_factors.e_clean,L1,CO2 intensity of low-carbon electricity,triangular,CA/OH/US (0.01; 0.03; 0.08),yes,yes,"(0.02; 0.03; 0.05)","(0.01; 0.03; 0.08)",n/a,no,none,width,low,medium,"Operational vs life-cycle-inclusive is a real methodological choice. LOW trims the life-cycle tail. HIGH not justified.",free_default_low
F04,emission_factors.e_fossil,L1,CO2 intensity of fossil generation,triangular,(0.35; 0.50; 0.65),yes,yes,"(0.40; 0.50; 0.60)","(0.35; 0.50; 0.65)",n/a,no,none,width,low,medium,"Technology range (NGCC-coal) is bounded. HIGH not justified.",free_default_low
F05,emission_factors.e_gasoline,L1,CO2 for gasoline combustion,triangular,(1.45; 1.65; 1.85),yes,yes,"(1.55; 1.65; 1.75)","(1.45; 1.65; 1.85)",n/a,no,none,width,low,medium,"Tight EPA physical range.",free_default_low
F06,consumption_rates.ecav_scale_factors.L3,L2,ECAV L3 per-level multiplicative factor,lognormal,sigma=0.15,yes,no,n/a,"lognormal(mean=1, sigma=0.15)",n/a,no,F09/F10/F11 (dual-axis; S2-01),width,fixed,medium,"Dossier S2-01. Duplicates the per-subsystem axis. FIXED by default; MEDIUM only for paper reproduction.",fixed_default
F07,consumption_rates.ecav_scale_factors.L4,L2,ECAV L4 per-level multiplicative factor,lognormal,sigma=0.20,yes,no,n/a,"lognormal(mean=1, sigma=0.20)",n/a,no,F09/F10/F11,width,fixed,medium,"Dossier S2-01.",fixed_default
F08,consumption_rates.ecav_scale_factors.L5,L2,ECAV L5 per-level multiplicative factor,lognormal,sigma=0.25,yes,no,n/a,"lognormal(mean=1, sigma=0.25)",n/a,no,F09/F10/F11,width,fixed,medium,"Dossier S2-01.",fixed_default
F09,consumption_rates.ecav_scale_factors.sensing,L2,ECAV sensing column multiplicative factor,lognormal,sigma=0.30,yes,yes,"lognormal(mean=1, sigma=0.20)","lognormal(mean=1, sigma=0.30)",n/a,no,none,width,low,medium,"Single retained axis after S2-01 fix. LOW narrows without losing measurement-based spread.",free_default_low
F10,consumption_rates.ecav_scale_factors.computing,L2,ECAV computing column factor,lognormal,sigma=0.20,yes,yes,"lognormal(mean=1, sigma=0.15)","lognormal(mean=1, sigma=0.20)",n/a,no,none,width,low,medium,"Kept free per single-axis rule.",free_default_low
