page,chart_or_table_name,metric,source_file,source_type,provenance_tier,units,confidence,notes
Home,Region default summary,Region baseline defaults,configs/*.json,config,Scenario assumption,varies,medium,Displayed summary of baseline inputs.
Scenario Explorer,Annual total energy consumption,ATS total annual energy demand,footprint_model.py,direct_simulation,Direct simulation output,kWh/year,high,Live run through TransportModel.
Scenario Explorer,Annual total CO2 emissions,ATS total annual emissions,footprint_model.py,direct_simulation,Direct simulation output,kg CO2/year,high,Live run through TransportModel.
Scenario Explorer,Vehicle and infrastructure counts,Total CAV / STI / EV / vehicles,footprint_model.py,direct_simulation,Direct simulation output,count,medium,Depends on scenario inputs and stock turnover logic.
Scenario Explorer,Uncertainty overlay,p05-p95 bands,results/*_quantiles.csv or results_notebook/*_quantiles.csv,quantile_csv,Direct simulation output,varies,medium,Shown only for exact default scenarios with matching files.
Utility Phase Analysis,Energy charts,ECAV / ICECAV / STI annual energy demand,footprint_model.py,direct_simulation,Direct simulation output,kWh/year,high,Display layer corrects raw `Power (kWh)` labels.
Utility Phase Analysis,Subsystem breakdown,ECAV/STI subsystem energy,footprint_model.py,direct_simulation,Direct simulation output,kWh/year,medium,Only shown because subsystem columns exist in model outputs.
State Results,State compare charts,ATS energy/emissions by state,footprint_model.py,direct_simulation,Direct simulation output,varies,high,Region-specific runtime configs shown alongside results.
State Results,Diagnostics panel,Loaded region parameters and diagnostics,configs/*.json + footprint_model.py,config_plus_simulation,Scenario assumption,mixed,high,Shows actual runtime values used by the simulator.
Turning Points,Peak year / turning year,Derived turning metrics,footprint_model.py,derived_formula,Derived formula from simulation output,year,medium,"Computed from annual emissions series, not measured."
Turning Points,Cumulative emissions,Cumulative ATS emissions,footprint_model.py,derived_formula,Derived formula from simulation output,kg CO2,medium,Sum of annual emissions over horizon.
Uncertainty Analysis,Quantile support table,Available quantile files,results/ + results_notebook/,file_inventory,Scenario assumption,n/a,high,"File-system support inventory, not simulation output."
Uncertainty Analysis,Uncertainty inputs,Sampled parameter table,results_notebook/uncertainty_inputs_table.csv,csv,Scenario assumption,mixed,medium,Documents what the Monte Carlo is configured to sample.
Framework Scope,Scope matrix,Implemented vs conceptual modules,repo audit,audit,Conceptual only / not quantitatively implemented,n/a,high,Explicit support boundary statement.
