distribution_id,config_path,family,parameterization,bounds,is_active_pre_fix,is_active_post_fix,consumed_by,semantic_alignment,malformed,risk_notes,action_taken
ca_f_clean,configs/california.json:data_uncertainty.initial_data.f_clean,beta,"mean=0.656, kappa=80","[0,1]",yes,yes,sample_config _apply_data_uncertainty → TransportModel.f_clean,consistent (L1 grid-mix),no,"Kappa=80 gives moderate width; verify vs EIA yearly variance",kept
ca_ev_share,configs/california.json:data_uncertainty.initial_data.ev_share,beta,"mean=0.041, kappa=120","[0,1]",yes,yes,sample_config ev_share special-case → recompute total_ev,consistent (L1),no,"Special handling at sample_config L213; fragile to refactor",kept + documented in SEMANTIC_ALIGNMENT_CHANGELOG
oh_f_clean,configs/ohio.json:data_uncertainty.initial_data.f_clean,beta,"mean=0.247, kappa=80","[0,1]",yes,yes,same as CA,consistent,no,same as CA,kept
oh_ev_share,configs/ohio.json:data_uncertainty.initial_data.ev_share,beta,"mean=0.00668, kappa=120","[0,1]",yes,yes,same as CA,consistent,no,"Very low mean (0.67%); beta may produce many near-zero samples",kept
us_f_clean,configs/us_average.json:data_uncertainty.initial_data.f_clean,beta,"mean=0.4515, kappa=60","[0,1]",yes,yes,same as CA,consistent,no,"Wider than CA/OH (kappa=60 vs 80); acceptable for synthetic region",kept
us_ev_share,configs/us_average.json:data_uncertainty.initial_data.ev_share,beta,"mean=0.0335, kappa=100","[0,1]",yes,yes,same as CA,consistent,no,"Wider than CA/OH (kappa=100 vs 120)",kept
ca_growth_cav,configs/california.json:data_uncertainty.growth_rates.cav,triangular,"low=0.25, mode=0.45, high=0.70","[0.25,0.70]",yes,yes,sample → TransportModel.cav_target_fraction,MIS-LABELED pre-fix (was in 'growth_rates'; semantically a 2075 target fraction),semantically misleading,"Reader assumed 'cav growth rate' is a growth exponent; actually a target fraction","Added 'semantic: 2075_target_fraction' annotation to spec"
ca_growth_sti,configs/california.json:data_uncertainty.growth_rates.sti,triangular,"low=0.25, mode=0.50, high=0.75","[0.25,0.75]",yes,yes,sample → TransportModel.sti_target_fraction,MIS-LABELED pre-fix,semantically misleading,same,same annotation
ca_growth_ev,configs/california.json:data_uncertainty.growth_rates.ev,normal (truncated),"mean=0.07, sd=0.015, min=0.02, max=0.15","[0.02,0.15]",yes,yes,sample → TransportModel.ev_growth_rate,consistent (L3 trajectory),no,"Exponential growth saturates ~2071 for CA baseline; band collapses after saturation","Added semantic annotation"
ca_growth_clean,configs/california.json:data_uncertainty.growth_rates.clean_energy,normal (truncated),"mean=0.05, sd=0.012, min=0.01, max=0.10","[0.01,0.10]",yes,yes,sample → f_clean_t trajectory,consistent (L3),SATURATION artifact,"Exponential saturates CA at ~2041; band width collapses afterward — could mislead readers into seeing 'predictability' that is a saturation artifact","Added semantic annotation; flagged in DISTRIBUTION_PROBLEMS_REPORT"
ca_efficiency_doubling,configs/california.json:data_uncertainty.growth_rates.efficiency_doubling,triangular,"low=1.5, mode=2.8, high=5.0","[1.5,5.0]",yes,yes,sample → cohort efficiency factor,consistent (L2),no,"Moore-style doubling time; bounds defensible",kept
ca_total_car_increase,configs/california.json:data_uncertainty.growth_rates.total_car_increase,normal (truncated),"mean=0.002, sd=0.001, min=-0.005, max=0.01","[-0.005,0.01]",yes,yes,sample → fleet trajectory,consistent (L3),no,"Allows slight fleet decline; reasonable",kept
